"Timestamp","Applet","Repo Name","Destination"
"2025-11-02T09:36:16.019Z","internal-purchase-grn-stock-in-applet (obsolete)","blg-applet-wavelet-internal-purchase-grn-stock-in-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-stock-in-applet (obsolete)"
"2025-11-02T09:37:02.973Z","internal-purchase-grn-supplier-access-applet","blg-applet-wavelet-internal-purchase-grn-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-supplier-access-applet"
"2025-11-02T09:37:50.059Z","internal-purchase-invoice-applet","blg-applet-wavelet-internal-purchase-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-applet"
"2025-11-02T09:38:45.479Z","internal-purchase-invoice-no-stock-in-applet","blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet"
"2025-11-02T09:39:34.119Z","internal-purchase-invoice-no-stock-in-applet (obsolete)","blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet (obsolete)"
"2025-11-02T09:40:14.750Z","internal-purchase-invoice-supplier-access-applet","blg-applet-wavelet-internal-purchase-invoice-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-supplier-access-applet"
"2025-11-02T09:41:10.119Z","internal-purchase-order-applet","blg-applet-wavelet-internal-purchase-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-order-applet"
"2025-11-02T09:41:57.520Z","internal-purchase-order-supplier-access-applet","blg-applet-wavelet-internal-purchase-order-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-order-supplier-access-applet"
"2025-11-02T09:42:33.595Z","internal-purchase-quotation-applet","blg-applet-wavelet-internal-purchase-quotation-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-quotation-applet"
"2025-11-02T09:43:10.102Z","internal-purchase-refund-note-applet","blg-applet-wavelet-internal-purchase-refund-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-refund-note-applet"
"2025-11-02T09:43:48.474Z","internal-purchase-requisition-applet","blg-applet-wavelet-internal-purchase-requisition-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-requisition-applet"
"2025-11-02T09:44:23.245Z","internal-purchase-return-applet","blg-applet-wavelet-internal-purchase-return-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-return-applet"
"2025-11-02T09:44:55.994Z","internal-purchase-return-supplier-access-applet","blg-applet-wavelet-internal-purchase-return-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-return-supplier-access-applet"
"2025-11-02T09:45:32.161Z","internal-purchase-self-billed-invoice-applet","blg-applet-wavelet-internal-purchase-self-billed-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-self-billed-invoice-applet"
"2025-11-02T09:46:14.999Z","internal-receipt-voucher-applet","blg-applet-wavelet-internal-receipt-voucher-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-receipt-voucher-applet"
"2025-11-02T09:47:01.454Z","internal-receipt-voucher-applet-v2","blg-applet-wavelet-internal-receipt-voucher-applet-v2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-receipt-voucher-applet-v2"
"2025-11-02T09:47:43.189Z","internal-reimbursement-payment-voucher-applet","blg-applet-wavelet-internal-reimbursement-payment-voucher-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-reimbursement-payment-voucher-applet"
"2025-11-02T09:48:44.565Z","internal-rma-applet","blg-applet-wavelet-internal-rma-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-rma-applet"
"2025-11-02T09:49:35.933Z","internal-rma-applet (obsolete)","blg-applet-wavelet-internal-rma-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-rma-applet (obsolete)"
"2025-11-02T09:50:22.663Z","internal-sales-commission-applet","blg-applet-wavelet-internal-sales-commission-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-commission-applet"
"2025-11-02T09:51:21.668Z","internal-sales-credit-note-applet","blg-applet-wavelet-internal-sales-credit-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-credit-note-applet"
"2025-11-02T09:52:23.762Z","internal-sales-debit-note-applet","blg-applet-wavelet-internal-sales-debit-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-debit-note-applet"
"2025-11-02T09:53:08.224Z","internal-sales-delivery-order-stock-out-applet","blg-applet-wavelet-internal-sales-delivery-order-stock-out-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-delivery-order-stock-out-applet"
"2025-11-02T09:53:49.263Z","internal-sales-gin-applet","blg-applet-wavelet-internal-sales-gin-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-gin-applet"
"2025-11-02T09:54:32.924Z","internal-sales-gin-stock-out-applet","blg-applet-wavelet-internal-sales-gin-stock-out-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-gin-stock-out-applet"
"2025-11-02T09:55:13.552Z","internal-sales-grn-applet","blg-applet-wavelet-internal-sales-grn-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-grn-applet"
"2025-11-02T09:56:00.071Z","internal-sales-inquiry-applet","blg-applet-wavelet-internal-sales-inquiry-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-inquiry-applet"
"2025-11-02T09:56:44.612Z","internal-sales-invoice-no-stock-out-applet","blg-applet-wavelet-internal-sales-invoice-no-stock-out-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-invoice-no-stock-out-applet"
"2025-11-02T09:57:31.555Z","internal-sales-proforma-invoice-applet","blg-applet-wavelet-internal-sales-proforma-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-proforma-invoice-applet"
"2025-11-02T09:58:14.039Z","internal-sales-proforma-invoice-applet-v2","blg-applet-wavelet-internal-sales-proforma-invoice-applet-v2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-proforma-invoice-applet-v2"
"2025-11-02T09:59:17.053Z","internal-sales-quotation-applet","blg-applet-wavelet-internal-sales-quotation-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-quotation-applet"
"2025-11-02T10:00:41.649Z","internal-sales-refund-note-applet","blg-applet-wavelet-internal-sales-refund-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-refund-note-applet"
"2025-11-02T10:01:27.763Z","internal-sales-refund-note-applet-v2","blg-applet-wavelet-internal-sales-refund-note-applet-v2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-refund-note-applet-v2"
"2025-11-02T10:02:19.152Z","internal-sales-refund-note-applet-v3","blg-applet-wavelet-internal-sales-refund-note-applet-v3","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-refund-note-applet-v3"
